name,ignored_reason,Ma_1.5_Cd,Ma_1.5_Cl
ah93w300,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
davissm,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
e376,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
e377m,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
e399,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
e421,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
e562,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
e662,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
fx3,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
fx61147,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
fx63110,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
fx66s196,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
fx69pr281,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
fx75vg166,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe16k,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe233,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe368,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe390,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe457,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe464,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe481,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe481a,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe522,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe531,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
goe803h,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
n2h15,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca1322,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca1423,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca1521,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca1718,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca3719,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca4309,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca4621,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca4709,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca4711,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca4713,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca4715,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca4718,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca4719,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca5619,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca5620,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca5711,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca5724,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca6507,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca6518,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca6520,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca6624,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca6721,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca6722,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca6723,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca6724,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7309,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7320,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7322,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7410,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7414,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7417,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7420,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7511,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7512,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7524,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7622,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7623,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7624,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7720,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7721,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7722,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7723,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca7724,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8314,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8320,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8414,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8424,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8510,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8521,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8522,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8523,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8524,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8618,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8619,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8620,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8621,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8622,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8623,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8624,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8715,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8716,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8717,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8718,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8719,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8720,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8721,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8722,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8723,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9421,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9422,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9423,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9424,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9519,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9520,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9521,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9522,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9523,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9524,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9615,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9616,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9617,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9618,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9619,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9620,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9621,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9622,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9623,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9624,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9713,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9714,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9715,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9716,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9717,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9718,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9719,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9720,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9721,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
saratov,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
